Title,Author(s),Year,Source,Status,Exclusion Criteria,Inclusion Criteria,Quality Grade,Goal
Do background colors improve program comprehension in the \#ifdef hell?,"Feigenspan, Janet and Kästner, Christian and Apel, Sven and Liebig, Jörg and Schulze, Michael and Dachselt, Raimund and Papendieck, Maria and Leich, Thomas and Saake, Gunter",2013,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Extracting and analyzing time-series {HCI} data from screen-captured task videos,"Bao, Lingfeng and Li, Jing and Xing, Zhenchang and Wang, Xinyu and Xia, Xin and Zhou, Bo",2017,Springer Link,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Understanding large-scale software systems – structure and flows,"Levy, Omer and Feitelson, Dror G.",2021,Springer Link,Rejected,Out of Scope,,N/A,N/A
An empirical study on the impact of static typing on software maintainability,"Hanenberg, Stefan and Kleinschmager, Sebastian and Robbes, Romain and Tanter, Éric and Stefik, Andreas",2014,Springer Link,Accepted,,Experiment,1.0,Confirm theories
Two {N}-of-1 self-trials on readability differences between anonymous inner classes ({AICs}) and lambda expressions ({LEs}) on {Java} code snippets,"Hanenberg, Stefan and Mehlhorn, Nils",2021,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Effects of variability in models: a family of experiments,"Mahmood, Wardah and Strüber, Daniel and Anjorin, Anthony and Berger, Thorsten",2022,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Special issue on information retrieval for program comprehension,"Etzkorn, Letha and Menzies, Tim",2009,Springer Link,Rejected,Out of Scope,,N/A,N/A
A {Survey} of {Dynamic} {Software} {Metrics},"Kumar Chhabra, Jitender and Gupta, Varun",2010,Springer Link,Accepted,,Survey,1.0,Confirm theories
A systematic approach for performance assessment using process mining,"Bernardi, Simona and Domínguez, Juan L. and Gómez, Abel and Joubert, Christophe and Merseguer, José and Perez-Palacin, Diego and Requeno, José I. and Romeu, Alberto",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
{FOREPOST}: finding performance problems automatically with feedback-directed learning software testing,"Luo, Qi and Nair, Aswathy and Grechanik, Mark and Poshyvanyk, Denys",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
An industrial study of applying input space partitioning to test financial calculation engines,"Offutt, Jeff and Alluri, Chandra",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
An experimental investigation comparing individual and collaborative work productivity when using desktop and cloud modeling tools,"Polančič, Gregor and Jošt, Gregor and Heričko, Marjan",2015,Springer Link,Duplicated,,,1.0,Confirm theories
Machine {Learning} {Techniques} for {Software} {Maintainability} {Prediction}: {Accuracy} {Analysis},"Elmidaoui, Sara and Cheikhi, Laila and Idri, Ali and Abran, Alain",2020,Springer Link,Rejected,Not a primary study,,N/A,N/A
Empirical evaluation of tools for hairy requirements engineering tasks,"Berry, Daniel M.",2021,Springer Link,Rejected,Out of Scope,,N/A,N/A
An experimental investigation on the effects of context on source code identifiers splitting and expansion,"Guerrouj, Latifa and Di Penta, Massimiliano and Guéhéneuc, Yann-Gaël and Antoniol, Giuliano",2014,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Empowering {OCL} research: a large-scale corpus of open-source data from {GitHub},"Mengerink, Josh G. M. and Noten, Jeroen and Serebrenik, Alexander",2019,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An investigation of misunderstanding code patterns in {C} open-source software projects,"Medeiros, Flávio and Lima, Gabriel and Amaral, Guilherme and Apel, Sven and Kästner, Christian and Ribeiro, Márcio and Gheyi, Rohit",2019,Springer Link,Accepted,,Survey,1.0,Explore relationships
Analyzing and mining a code search engine usage log,"Bajracharya, Sushil Krishna and Lopes, Cristina Videira",2012,Springer Link,Rejected,Out of Scope,,N/A,N/A
Balancing the trade-off between accuracy and interpretability in software defect prediction,"Mori, Toshiki and Uchihira, Naoshi",2019,Springer Link,Accepted,,Experiment,1.0,Confirm theories
An exploratory study of the impact of antipatterns on class change- and fault-proneness,"Khomh, Foutse and Penta, Massimiliano Di and Guéhéneuc, Yann-Gaël and Antoniol, Giuliano",2012,Springer Link,Rejected,Out of Scope,,N/A,N/A
Quantifying identifier quality: an analysis of trends,"Lawrie, Dawn and Feild, Henry and Binkley, David",2007,Springer Link,Rejected,Out of Scope,,N/A,N/A
Predicting high-risk program modules by selecting the right software measurements,"Gao, Kehan and Khoshgoftaar, Taghi M. and Seliya, Naeem",2012,Springer Link,Rejected,Out of Scope,,N/A,N/A
Testing machine learning based systems: a systematic mapping,"Riccio, Vincenzo and Jahangirova, Gunel and Stocco, Andrea and Humbatova, Nargiz and Weiss, Michael and Tonella, Paolo",2020,Springer Link,Rejected,Not a primary study,,N/A,N/A
The impact of automated feature selection techniques on the interpretation of defect models,"Jiarpakdee, Jirayus and Tantithamthavorn, Chakkrit and Treude, Christoph",2020,Springer Link,Accepted,,Experiment,1.0,Explore relationships
A successful application of a {Test}-{Driven} {Development} strategy in the industrial environment,"Latorre, Roberto",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
Empirical {Characterization} of {Session}–{Based} {Workload} and {Reliability} for {Web} {Servers},"Goševa-Popstojanova, Katerina and Singh, Ajay Deep and Mazimdar, Sunil and Li, Fengbin",2006,Springer Link,Rejected,Out of Scope,,N/A,N/A
In this issue,"Briand, Lionel and Basili, Victor",2007,Springer Link,Duplicated,,,N/A,N/A
A multi-view context-aware approach to {Android} malware detection and malicious code localization,"Narayanan, Annamalai and Chandramohan, Mahinthan and Chen, Lihui and Liu, Yang",2018,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
On rapid releases and software testing: a case study and a semi-systematic literature review,"Mäntylä, Mika V. and Adams, Bram and Khomh, Foutse and Engström, Emelie and Petersen, Kai",2015,Springer Link,Rejected,Not a primary study,,N/A,N/A
Guest editorial to the special section of models 2019,"Yue, Tao and Abrahão, Silvia and Zhang, Man",2021,Springer Link,Rejected,Not a primary study,,N/A,N/A
Practitioner’s view of the success factors for software outsourcing partnership formation: an empirical exploration,"Ali, Sikandar and Abbasi, Irshad Ahmed and Mustafa, Elfatih Elmubarak and Wahid, Fazli and Huang, Jiwei",2022,Springer Link,Accepted,,Survey,1.0,Confirm theories
Empirical {Validation} of {Software} {Integration} {Practices} in {Global} {Software} {Development},"Ilyas, Muhammad and Khan, Siffat Ullah and Rashid, Nasir",2020,Springer Link,Rejected,Not a primary study,,N/A,N/A
A detailed investigation of the effectiveness of whole test suite generation,"Rojas, José Miguel and Vivanti, Mattia and Arcuri, Andrea and Fraser, Gordon",2017,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Code smells detection via modern code review: a study of the {OpenStack} and {Qt} communities,"Han, Xiaofeng and Tahir, Amjed and Liang, Peng and Counsell, Steve and Blincoe, Kelly and Li, Bing and Luo, Yajing",2022,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A large study on the effect of code obfuscation on the quality of java code,"Ceccato, Mariano and Capiluppi, Andrea and Falcarin, Paolo and Boldyreff, Cornelia",2015,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Considerations about quality in model-driven engineering,"Giraldo, Fáber D. and España, Sergio and Pastor, Óscar and Giraldo, William J.",2018,Springer Link,Rejected,Not a primary study,,N/A,N/A
"The city metaphor in software visualization: feelings, emotions, and thinking","Romano, Simone and Capece, Nicola and Erra, Ugo and Scanniello, Giuseppe and Lanza, Michele",2019,Springer Link,Accepted,,Experiment,1.0,Explore relationships
"Defect prediction from static code features: current results, limitations, new approaches","Menzies, Tim and Milton, Zach and Turhan, Burak and Cukic, Bojan and Jiang, Yue and Bener, Ayşe",2010,Springer Link,Accepted,,Experiment,0.0,
Security analysis of permission re-delegation vulnerabilities in {Android} apps,"Demissie, Biniam Fisseha and Ceccato, Mariano and Shar, Lwin Khin",2020,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Revealing influence of model structure and test case profile on the prioritization of test cases in the context of model-based testing,"Silva Ouriques, João Felipe and Cartaxo, Emanuela Gadelha and Lima Machado, Patrícia Duarte",2015,Springer Link,Accepted,,Experiment,0.0,
High-{MCC} {Functions} in the {Linux} {Kernel},"Jbara, Ahmad and Matan, Adam and Feitelson, Dror G.",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
Analyzing the effects of test driven development in {GitHub},"Borle, Neil C. and Feghhi, Meysam and Stroulia, Eleni and Greiner, Russell and Hindle, Abram",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
The last line effect explained,"Beller, Moritz and Zaidman, Andy and Karpov, Andrey and Zwaan, Rolf A.",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Wait for it: identifying “{On}-{Hold}” self-admitted technical debt,"Maipradit, Rungroj and Treude, Christoph and Hata, Hideaki and Matsumoto, Kenichi",2020,Springer Link,Rejected,Out of Scope,,N/A,N/A
On the use of commit-relevant mutants,"Ojdanić, Miloš and Ma, Wei and Laurent, Thomas and Chekam, Thierry Titcheu and Ventresque, Anthony and Papadakis, Mike",2022,Springer Link,Rejected,Out of Scope,,N/A,N/A
A replicated assessment and comparison of adaptation techniques for analogy-based effort estimation,"Azzeh, Mohammad",2012,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Assessing the capability of code smells to explain maintenance problems: an empirical study combining quantitative and qualitative data,"Yamashita, Aiko",2014,Springer Link,Accepted,,Experiment,1.0,Explore relationships
From project-oriented to service-oriented software development: an industrial experience guided by a service reference model,"Kalinowski, Marcos and Biffl, Stefan and Spínola, Rodrigo Oliveira and Reinehr, Sheila",2014,Springer Link,Rejected,Out of Scope,,N/A,N/A
Construction of a quality model for machine learning systems,"Siebert, Julien and Joeckel, Lisa and Heidrich, Jens and Trendowicz, Adam and Nakamichi, Koji and Ohashi, Kyoko and Namba, Isao and Yamamoto, Rieko and Aoyama, Mikio",2022,Springer Link,Rejected,Out of Scope,,N/A,N/A
"Use, potential, and showstoppers of models in automotive requirements engineering","Liebel, Grischa and Tichy, Matthias and Knauss, Eric",2019,Springer Link,Rejected,Out of Scope,,N/A,N/A
A requirements engineering framework for cross-organizational {ERP} systems,"Daneva, Maya and Wieringa, Roel J.",2006,Springer Link,Rejected,Out of Scope,,N/A,N/A
Analysis {Perspective} {Views} of {Grid} {Simulation} {Tools},"Prajapati, Harshadkumar B. and Shah, Vipul A.",2015,Springer Link,Rejected,Out of Scope,,N/A,N/A
Does syntax highlighting help programming novices?,"Hannebauer, Christoph and Hesenius, Marc and Gruhn, Volker",2018,Springer Link,Duplicated,,,N/A,N/A
In this issue,"Briand, Lionel and Basili, Victor",2007,Springer Link,Duplicated,,,N/A,N/A
On the Influence of Human Factors for Identifying Code Smells: A Multi-Trial Empirical Study,"de Mello, Rafael Maiani and Oliveira, Roberto and Garcia, Alessandro",2017,IEEE Xplore,Duplicated,,,1.0,Confirm theories
The Influence of Requirements in Software Model Development in an Industrial Environment,"Echeverría, Jorge and Pérez, Francisca and Panach, José Ignacio and Cetina, Carlos and Pastor, Óscar",2017,IEEE Xplore,Duplicated,,,N/A,N/A
Further analysis on the validation of a usability inspection method for model-driven web development,"Fernandez, Adrian and Abrahão, Silvia and Insfran, Emilio and Matera, Maristella",2012,IEEE Xplore,Duplicated,,,1.0,Evaluate the accuracy of models
Assessing the impact of real-time machine translation on requirements meetings: A replicated experiment,"Calefato, Fabio and Lanubile, Filippo and Conte, Tayana and Prikladnicki, Rafael",2012,IEEE Xplore,Duplicated,,,1.0,Confirm theories
Describing What Experimental Software Engineering Experts Do When They Design Their Experiments: A Qualitative Study,"Fonseca, Liliane and Soares, Sergio and Seaman, Carolyn",2017,ACM Digital Library,Duplicated,,,N/A,N/A
{APOGEN}: automatic page object generator for web testing,"Stocco, Andrea and Leotta, Maurizio and Ricca, Filippo and Tonella, Paolo",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Software quality analysis by combining multiple projects and learners,"Khoshgoftaar, Taghi M. and Rebours, Pierre and Seliya, Naeem",2009,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Queue-priority optimized algorithm: a novel task scheduling for runtime systems of application integration platforms,"Freire, Daniela L. and Frantz, Rafael Z. and Roos-Frantz, Fabricia and Basto-Fernandes, Vitor",2022,Springer Link,Accepted,,Experiment,1.0,Evaluate the accuracy of models
{A4WSN}: an architecture-driven modelling platform for analysing and developing {WSNs},"Malavolta, Ivano and Mostarda, Leonardo and Muccini, Henry and Ever, Enver and Doddapaneni, Krishna and Gemikonakli, Orhan",2019,Springer Link,Rejected,Out of Scope,,N/A,N/A
Coherence of comments and method implementations: a dataset and an empirical investigation,"Corazza, Anna and Maggio, Valerio and Scanniello, Giuseppe",2018,Springer Link,Rejected,Not a primary study,,N/A,N/A
Design notations for secure software: a systematic literature review,"van den Berghe, Alexander and Scandariato, Riccardo and Yskout, Koen and Joosen, Wouter",2017,Springer Link,Rejected,Not a primary study,,N/A,N/A
A statistical framework for analyzing the duration of software projects,"Sentas, Panagiotis and Angelis, Lefteris and Stamelos, Ioannis",2008,Springer Link,Rejected,Out of Scope,,N/A,N/A
Defect propagation at the project-level: results and a post-hoc analysis on inspection efficiency,"Vitharana, Padmal",2017,Springer Link,Rejected,Out of Scope,,N/A,N/A
Demystifying regular expression bugs,"Wang, Peipei and Brown, Chris and Jennings, Jamie A. and Stolee, Kathryn T.",2021,Springer Link,Rejected,Out of Scope,,N/A,N/A
Experiences from introducing {UML}-based development in a large safety-critical project,"Anda, Bente and Hansen, Kai and Gullesen, Ingolf and Thorsen, Hanne Kristin",2006,Springer Link,Accepted,,Case Study,1.0,Explore relationships
Empirical studies concerning the maintenance of UML diagrams and their use in the maintenance of code: A systematic mapping study,Ana M. Fernández-Sáez and Marcela Genero and Michel R.V. Chaudron,2013,Science@Direct,Rejected,Not a primary study,,N/A,N/A
Comprehension strategies and difficulties in maintaining object-oriented systems: An explorative study,Amela Karahasanović and Annette Kristin Levine and Richard Thomas,2007,Science@Direct,Accepted,,Experiment,1.0,Confirm theories
An improved method for test case prioritization by incorporating historical test case data,Alireza Khalilian and Mohammad {Abdollahi Azgomi} and Yalda Fazlalizadeh,2012,Science@Direct,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Software {Design} {Smell} {Detection}: a systematic mapping study,"Alkharabsheh, Khalid and Crespo, Yania and Manso, Esperanza and Taboada, José A.",2019,Springer Link,Rejected,Not a primary study,,N/A,N/A
Does aspect-oriented modeling help improve the readability of {UML} state machines?,"Ali, Shaukat and Yue, Tao and Briand, Lionel C.",2014,Springer Link,Accepted,,Experiment,1.0,Validate measures
Fifty years of the psychology of programming,Alan F. Blackwell and Marian Petre and Luke Church,2019,Science@Direct,Rejected,Out of Scope,,N/A,N/A
Identification and prioritization of {SLR} search tool requirements: an {SLR} and a survey,"Al-Zubidy, Ahmed and Carver, Jeffrey C.",2019,Springer Link,Rejected,Not a primary study,,N/A,N/A
"Syntax, predicates, idioms — what really affects code complexity?","Ajami, Shulamyt and Woodbridge, Yonatan and Feitelson, Dror G.",2019,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Eliciting Better Quality Architecture Evaluation Scenarios: A Controlled Experiment on Top-down vs. Bottom-Up,"Ali Babar, Muhammed and Biffl, Stefan",2006,ACM Digital Library,Accepted,,Experiment,1.0,Confirm theories
Redundancy-free analysis of multi-revision software artifacts,"Alexandru, Carol V. and Panichella, Sebastiano and Proksch, Sebastian and Gall, Harald C.",2019,Springer Link,Accepted,,Case Study,1.0,Evaluate the accuracy of models
An experiment on the effectiveness and efficiency of exploratory testing,"Afzal, Wasif and Ghazi, Ahmad Nauman and Itkonen, Juha and Torkar, Richard and Andrews, Anneliese and Bhatti, Khurram",2015,Springer Link,Accepted,,Experiment,0.0,
Comparing the Effectiveness of Goal-Oriented Languages: Results from a Controlled Experiment,"Abrah\~{a}o, Silvia and Insfran, Emilio and de Guevara, Fernando Gonz\'{a}lez-Ladr\'{o}n and Fern\'{a}ndez-Diego, Marta and Cano-Genoves, Carlos and de Oliveira, Raphael Pereira",2018,ACM Digital Library,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Software architectures for robotic systems: A systematic mapping study,Aakash Ahmad and Muhammad Ali Babar,2016,Science@Direct,Rejected,Not a primary study,,N/A,N/A
The Influence of Requirements in Software Model Development in an Industrial Environment,"Echeverria, Jorge and Perez, Francisca and Panach, Jose Ignacio and Cetina, Carlos and Pastor, Oscar",2017,El Compendex,Rejected,Out of Scope,,N/A,N/A
A controlled experiment comparing the maintainability of programs designed with and without design patterns - A replication in a real programming environment,"Voka, Marek and Tichy, Walter and Sjoberg, Dag I. K. and Arisholm, Erik and Aldrin, Magne",2004,El Compendex,Accepted,,Experiment,1.0,Validate measures
Applying use cases to design versus validate class diagrams - A controlled experiment using a professional modeling tool,"Anda, B. and Sjoberg, D.I.K.",2003,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Do software models based on the UML aid in source-code comprehensibility? Aggregating evidence from 12 controlled experiments,"Scanniello, Giuseppe and Gravino, Carmine and Genero, Marcela and Cruz-Lemus, Jose A. and Tortora, Genoveffa and Risi, Michele and Dodero, Gabriella",2018,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Experimental evaluation of automatic tests cases in Data Analytics applications loading procedures,"Santos, Igor Peterson Oliveira and Costa, Juli Kelle Gois and Junior, Methanias Colaco and Nascimento, Andre Vinicius R. P.",2017,El Compendex,Accepted,,Experiment,1.0,Explore relationships
On the role of tests in test-driven development: A differentiated and partial replication,"Fucci, Davide and Turhan, Burak",2014,El Compendex,Accepted,,Experiment,1.0,Validate measures
User interaction forensics detecting and interpreting the user's footprints during touch interaction,"Breiner, Kai",2013,El Compendex,Accepted,,Experiment,1.0,Confirm theories
MOCQL: A declarative language for ad-hoc model querying,"Storrle, Harald",2013,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
An experimental investigation comparing individual and collaborative work productivity when using desktop and cloud modeling tools,"Polani, Gregor and Jot, Gregor and Heriko, Marjan",2015,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Relationships and responsibilities of software experimentation,"Cantone, Giovanni",2007,El Compendex,Duplicated,,,N/A,N/A
An experimental comparison of checklist-based reading and perspective-based reading for UML design document inspection,"Sabaliauskaite, G. and Matsukawa, F. and Kusumoto, S. and Inoue, K.",2002,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Comparing the fault detection effectiveness of N-way and random test suites,"Schroeder, Patrick J. and Bolaki, Pankaj and Gopu, Vijayram",2004,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Are reviews an alternative to pair programming?,"Muller, Matthias M.",2004,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Investigating the role of use cases in the construction of class diagrams,"Anda, Bente and Sjoberg, Dag I.K.",2005,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Decision support for the software product line domain engineering lifecycle,"Bagheri, Ebrahim and Ensan, Faezeh and Gasevic, Dragan",2012,Springer Link,Accepted,,Experiment,1.0,Confirm theories
An empirical assessment of baseline feature location techniques,"Razzaq, Abdul and Le Gear, Andrew and Exton, Chris and Buckley, Jim",2020,Springer Link,Accepted,,Case Study,1.0,Evaluate the accuracy of models
Shorter identifier names take longer to comprehend,"Hofmeister, Johannes C. and Siegmund, Janet and Holt, Daniel V.",2019,Springer Link,Accepted,,Experiment,1.0,Confirm theories
An empirical study of early access games on the {Steam} platform,"Lin, Dayi and Bezemer, Cor-Paul and Hassan, Ahmed E.",2018,Springer Link,Rejected,Out of Scope,,N/A,N/A
Empirical study on the maintainability of {Web} applications: {Model}-driven {Engineering} vs {Code}-centric,"Martínez, Yulkeidi and Cachero, Cristina and Meliá, Santiago",2014,Springer Link,Accepted,,Experiment,1.0,Explore relationships
Web application fault classification-an exploratory study,"Guo, Yuepu and Sampath, Sreedevi",2008,El Compendex,Rejected,Out of Scope,,N/A,N/A
Adding planned design to XP might help novices' productivity (or might not): Two controlled experiments,"Noel, Rene and Valdes, Gonzalo and Visconti, Marcello and Astudillo, Hernan",2008,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Formalisms in software engineering: Myths versus empirical facts,"Rombach, Dieter and Seelisch, Frank",2008,El Compendex,Rejected,Out of Scope,,N/A,N/A
Using Wikis to support the Net Generation in improving knowledge acquisition in capstone projects,"Ras, Eric and Rech, Jorg",2009,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Program comprehension of domain-specific and general-purpose languages: Comparison using a family of experiments,"Kosar, Tomaz and Mernik, Marjan and Carver, Jeffrey C.",2012,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Assessing and evolving a domain specific language for formalizing software engineering experiments: An empirical study,"Freire, Marilia and Kulesza, Uira and Aranha, Eduardo and Nery, Gustavo and Costa, Daniel and Jedlitschka, Andreas and Campos, Edmilson and Acuna, Silvia T. and Gomez, Marta N.",2014,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Are {Reviews} an {Alternative} to {Pair} {Programming}?,"Müller, Matthias M.",2004,Springer Link,Duplicated,,,N/A,N/A
Examination of the software architecture change characterization scheme using three empirical studies,"Williams, Byron J. and Carver, Jeffrey C.",2014,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Empirical investigation towards the effectiveness of Test First programming,"Huang, Liang and Holcombe, Mike",2009,El Compendex,Accepted,,Experiment,1.0,Explore relationships
A family of experiments to assess the effectiveness and efficiency of source code obfuscation techniques,"Ceccato, Mariano and Di Penta, Massimiliano and Falcarin, Paolo and Ricca, Filippo and Torchiano, Marco and Tonella, Paolo",2014,El Compendex,Accepted,,Experiment,1.0,Confirm theories
Empirical assessment of the effort needed to attack programs protected with client/server code splitting,"Viticchié, Alessio and Regano, Leonardo and Basile, Cataldo and Torchiano, Marco and Ceccato, Mariano and Tonella, Paolo",2020,Springer Link,Duplicated,,,1.0,Confirm theories
Are test smells really harmful? An empirical study,"Bavota, Gabriele and Qusef, Abdallah and Oliveto, Rocco and De Lucia, Andrea and Binkley, Dave",2015,El Compendex,Accepted,,Experiment,1.0,Confirm theories
A comparison of structured analysis and object oriented analysis: An experimental study,"Falessi, Davide and Cantone, Giovanni and Grande, Claudio",2007,El Compendex,Duplicated,,,1.0,Evaluate the accuracy of models
"To log, or not to log: using heuristics to identify mandatory log events – a controlled experiment","King, Jason and Stallings, Jon and Riaz, Maria and Williams, Laurie",2017,Springer Link,Duplicated,,,N/A,N/A
A Mapping Study of Software Causal Factors for Improving Maintenance,"Carroll, Carson and Falessi, Davide and Forney, Vanessa and Frances, Alexa and Izurieta, Clemente and Seaman, Carolyn",2015,El Compendex,Rejected,Not a primary study,,N/A,N/A
The Maturation of Empirical Studies,"Rombach, Dieter and Jedlitschka, Andreas",2015,El Compendex,Rejected,Out of Scope,,N/A,N/A
Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts,"Jonsson, Leif and Borg, Markus and Broman, David and Sandahl, Kristian and Eldh, Sigrid and Runeson, Per",2016,El Compendex,Rejected,Out of Scope,,N/A,N/A
A realistic empirical evaluation of the costs and benefits of UML in software maintenance,"Dzidek, Wojciech James and Arisholm, Erik and Briand, Lionel C.",2008,El Compendex,Duplicated,,,1.0,Confirm theories
Crossover Designs in Software Engineering Experiments: Benefits and Perils,"Vegas, Sira and Apa, Cecilia and Juristo, Natalia",2016,El Compendex,Rejected,Out of Scope,,N/A,N/A
Experimentation in the industry for automation of unit testing in a business intelligence environment,"Santos, Igor Peterson Oliveira and Nascimento, Andre Vinicius R. P. and Costa, Juli Kelle Gois and Junior, Methanias Colaco and Pereira, Wenderson Campos",2016,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
ESEM'08: Proceedings of the 2008 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,,2008,El Compendex,Rejected,Out of Scope,,N/A,N/A
Optimize defect detection techiniques through empirical software engineering method,"Sun, Hai Tao",2005,El Compendex,Rejected,Out of Scope,,N/A,N/A
Application of open coding using the grounded theory method to identify the profile of information and commucation technology companies in the State of Para from Brazil,"Soares, Elziane Monteiro and Oliveira, Sandro Ronaldo Bezerra",2019,El Compendex,Rejected,Out of Scope,,N/A,N/A
Dissecting design effort and drawing effort in UML modeling,"Jolak, Rodi and Umuhoza, Eric and Ho-Quang, Truong and Chaudron, Michel R. V. and Brambilla, Marco",2017,El Compendex,Accepted,,Experiment,1.0,Confirm theories
"Impact of test-driven development on productivity, code and tests: A controlled experiment","Panur, Matjaz and Ciglari, Mojca",2011,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Applying empirical software engineering to software architecture: Challenges and lessons learned,"Falessi, Davide and Babar, Muhammad Ali and Cantone, Giovanni and Kruchten, Philippe",2010,El Compendex,Rejected,Out of Scope,,N/A,N/A
Reliability of self-rated experience and confidence as predictors for students performance in software engineering: Results from multiple controlled experiments on model comprehension with graduate and undergraduate students,"Daun, Marian and Brings, Jennifer and Obe, Patricia Aluko and Stenkova, Viktoria",2021,El Compendex,Rejected,Out of Scope,,N/A,N/A
ESEML - Empirical software engineering modeling language,"Cartaxo, Bruno and Costa, Italo and Abrantes, Dhiego and Santos, Andre and Soares, Sergio and Garcia, Vinicius",2012,El Compendex,Rejected,Out of Scope,,N/A,N/A
Empirical evaluation of uml modeling toolsa controlled experiment,"Safdar, Safdar Aqeel and Iqbal, Muhammad Zohaib and Khan, Muhammad Uzair",2015,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
A controlled experiment on productivity of pair programming gender combinations: Preliminary results,"Gomez, Omar S. and Solari, Martin and Pardo, Cesar J. and Ledezma, A. Carolina",2017,El Compendex,Duplicated,,,1.0,Explore relationships
Improving the identification of hedonic quality in user requirements: a second controlled experiment,"Maier, Andreas and Berry, Daniel M.",2018,El Compendex,Accepted,,Experiment,1.0,Explore relationships
Using a Data-Driven Context Model to Support the Elicitation of Context-Aware Functionalities  A Controlled Experiment,"Falcao, Rodrigo and Trapp, Marcus and Vieira, Vaninha and Vianna Dias da Silva, Alberto",2021,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
In this issue,"Maldonado, Jose and Wohlin, Claes",2008,El Compendex,Rejected,Out of Scope,,N/A,N/A
Towards an Extensible Architecture foran Empirical Software Engineering Computational Platform,"Silveira, Fabio Fagundes and Avancini, Rodrigo and de SouzaFranca, David and Guerra, Eduardo Martins and da Silva, Tiago Silva",2021,El Compendex,Accepted,,Experiment,0.5,Evaluate the accuracy of models
Evaluating the usefulness and ease of use of a groupware tool for the software architecture evaluation process,"Ali Babar, Muhamad and Winkler, Dietmar and Biffl, Stefan",2007,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Experimental evaluation of a tool for the verification and transformation of source code in event-driven systems,"Gulesir, Gurcan and Van Den Berg, Klaas and Bergmans, Lodewijk and Aksit, Mehmet",2009,El Compendex,Accepted,,Experiment,1.0,Evaluate the accuracy of models
Does explanation improve the acceptance of decision support for product release planning?,"Du, Gengshen and Ruhe, Guenther",2009,IEEE Xplore,Duplicated,,,1.0,Confirm theories
Assessing the reproducibility and accuracy of functional size measurement methods through experimentation,"Abrahao, S. and Poels, G. and Pastor, O.",2004,IEEE Xplore,Duplicated,,,1.0,Evaluate the accuracy of models
An experimental comparison of checklist-based reading and perspective-based reading for UML design document inspection,"Sabaliauskaite, G. and Matsukawa, F. and Kusumoto, S. and Inoue, K.",2002,IEEE Xplore,Duplicated,,,1.0,Evaluate the accuracy of models
Retrieving Diverse Opinions from App Reviews,"Guzman, Emitza and Aly, Omar and Bruegge, Bernd",2015,IEEE Xplore,Duplicated,,,1.0,Evaluate the accuracy of models
Crossover Designs in Software Engineering Experiments: Benefits and Perils,"Vegas, Sira and Apa, Cecilia and Juristo, Natalia",2016,IEEE Xplore,Duplicated,,,N/A,N/A
